# http://fitlayout.github.io/resource/art3 -> https://www.imdb.com/title/tt0285331/fullcredits/
character=Jack Bauer	name=Kiefer Sutherland	episodes=195 episodes, 2001-2010 	
character=Wall Street Passenger	name=Geoff Aull	episodes=1 episode, 2009 	
character=Monica Elizabeth Crowley	name=Monica Crowley	episodes=1 episode, 2010 	
character=FOX News Anchor	name=Ernie Anastos	episodes=1 episode, 2010 	
character=FBI Agent 	name=Matthew Scanlon	episodes=1 episode, 2010 	
character=Nasir Trabelsi	name=Patrick Sabongui	episodes=1 episode, 2007 	
character=Emily Latham	name=Hayley McFarland	episodes=1 episode, 2009 	
character=FBI Agent 	name=Ryan Christiansen	episodes=1 episode, 2010 	
character=Sato	name=Roy Vongtama	episodes=1 episode, 2009 	
character=Prison Guard 	name=Tom Kiesche	episodes=1 episode, 2003 	
character=Agent	name=André Rishi	episodes=1 episode, 2004 	
character=CTU Guard	name=Richy B. Jacobs	episodes=1 episode, 2004 	
character=Hessa Marwan	name=Bahar Soomekh	episodes=1 episode, 2005 	
character=Steven Wiseman	name=Robert Catrini	episodes=1 episode, 2005 	
character=Officer Goodwin	name=Mitchell A. Steinberg	episodes=1 episode, 2005 	
character=Agent Aaron	name=Aaron White	episodes=1 episode, 2005 	
character=Agent McCullough	name=Erik Rondell	episodes=1 episode, 2006 	
character=CTU Guard	name=Chaz Fatur	episodes=1 episode, 2006 	
character=Middle Eastern Man	name=Michael Karawia	episodes=1 episode, 2006 	
character=CTU	name=Shawn McDonald	episodes=1 episode, 2007 	
character=FSB Agent	name=Boris Arsoyev	episodes=1 episode, 2007 	
character=CTU Agent	name=Patrick O	episodes=14 episodes, 2003 	
character=CTU Agent	name=Bell	episodes=14 episodes, 2003 	
character=Roger Stanton	name=Harris Yulin	episodes=9 episodes, 2002-2003 	
character=CTU Worker	name=Ajay Nayyar	episodes=8 episodes, 2010 	
character=Cara	name=Randall Archer	episodes=7 episodes, 2009 	
character=Accomplice	name=Randall Archer	episodes=7 episodes, 2009 	
character=CTU Staffer	name=Kavita Patil	episodes=6 episodes, 2001-2002 	
character=Terrorist	name=Laurence Todd Rosenthal	episodes=5 episodes, 2005-2007 	
character=Mark Wexler	name=Tim Mikulecky	episodes=4 episodes, 2006-2009 	
character=Agent Adam	name=Richard John Walters	episodes=3 episodes, 2003-2005 	
character=Inmate 	name=Troy Gilbert	episodes=3 episodes, 2003-2005 	
character=Terrorist	name=Marco Khan	episodes=3 episodes, 2005 	
character=Agent North	name=Mark Aaron Wagner	episodes=3 episodes, 2006 	
character=Agent Boorman	name=Alton Demore	episodes=3 episodes, 2007 	
character=FBI Agent 	name=Brian Waller	episodes=3 episodes, 2009 	
character=Lucy	name=Melanee Murray	episodes=2 episodes, 2002 	
character=Inmate D-9973	name=John Meier	episodes=2 episodes, 2003 	
character=N.E.S.T. Tech 	name=John Dalton	episodes=2 episodes, 2003 	
character=Forbes	name=David Kilde	episodes=2 episodes, 2005 	
character=Henchman	name=David Kilde	episodes=2 episodes, 2005 	
character=Navi	name=Nick Hermz	episodes=2 episodes, 2005 	
character=Driver	name=Nick Hermz	episodes=2 episodes, 2005 	
character=Jacob Rossler	name=Patrick Bauchau	episodes=2 episodes, 2006 	
character=Irv	name=Monti Sharp	episodes=2 episodes, 2007 	
character=CTU Officer	name=Danny Pardo	episodes=2 episodes, 2007 	
character=Ed	name=Matt Flanagan	episodes=2 episodes, 2007 	
character=CTU Office Worker	name=Kristina Sutton	episodes=2 episodes, 2010 	
character=Reporter	name=Erin Pickett	episodes=2 episodes, 2010 	
character=Reporter	name=Rick L. Dean	episodes=2 episodes, 2010 	
character=Wife	name=Janet Dey	episodes=1 episode, 2001 	
character=Walsh	name=Janet Dey	episodes=1 episode, 2001 	
character=Party Guest	name=Robin Blake	episodes=1 episode, 2001 	
character=Secret Service Agent	name=Chris Torres	episodes=1 episode, 2001 	
character=Secret Service Agent	name=Al Ahlf	episodes=1 episode, 2001 	
character=Principal	name=Jenny Gago	episodes=1 episode, 2002 	
character=CTU Employee	name=Julie Marie Hassett	episodes=1 episode, 2002 	
character=CTU Staffer	name=Angela Meryl	episodes=1 episode, 2002 	
character=Band Member	name=Sean Callery	episodes=1 episode, 2002 	
character=CTU Staffer	name=William H. Burton Jr.	episodes=1 episode, 2002 	
character=Officer Barber	name=Kevin Beard	episodes=1 episode, 2002 	
character=CTU Staffer	name=Vladimir Tevlovski	episodes=1 episode, 2002 	
character=Waitress	name=Cynthia Pinot	episodes=1 episode, 2002 	
character=Boat Driver	name=Troy Waters	episodes=1 episode, 2002 	
character=Drazen	name=Troy Waters	episodes=1 episode, 2002 	
character=Reporter	name=Jackeline Olivier	episodes=1 episode, 2002 	
character=Ralph Rosen	name=Robert Scott Kyker	episodes=1 episode, 2002 	
character=Military Officer 	name=Stephen Mendel	episodes=1 episode, 2003 	
character=CTU Agent	name=Dalia Phillips	episodes=1 episode, 2003 	
character=Prison Guard	name=Ted Barba	episodes=1 episode, 2003 	
character=EMT Collins	name=Anthony L. Gilardi	episodes=1 episode, 2003 	
character=CTU Agent	name=Thomas Sobel	episodes=1 episode, 2003 	
character=Agent Devereux	name=Randy Davison	episodes=1 episode, 2004 	
character=CTU Agent	name=Tony Morgan	episodes=1 episode, 2004 	
character=Man	name=Michael Atlas Lane	episodes=1 episode, 2004 	
character=Hotel Guest	name=Orlando Ortega	episodes=1 episode, 2004 	
character=Amador	name=Steven J. Pershing	episodes=1 episode, 2004 	
character=Bodyguard	name=Steven J. Pershing	episodes=1 episode, 2004 	
character=Terrorist	name=Scott Waugh	episodes=1 episode, 2005 	
character=James	name=Rob Mars	episodes=1 episode, 2005 	
character=Michelle	name=Nancy Harding	episodes=1 episode, 2005 	
character=Assistant	name=Nancy Harding	episodes=1 episode, 2005 	
character=CTU Agent	name=Shaun Paul Piccinino	episodes=1 episode, 2005 	
character=Tim Felson	name=Matt DeCaro	episodes=1 episode, 2005 	
character=First Agent	name=Todd Cattell	episodes=1 episode, 2005 	
character=Terrorist	name=Jimmy N. Roberts	episodes=1 episode, 2005 	
character=White House Aide	name=Terry Bolo	episodes=1 episode, 2005 	
character=Dar	name=Joseph Hodge	episodes=1 episode, 2005 	
character=CTU Security Guard	name=Bryan Irzyk	episodes=1 episode, 2005 	
character=Airforce Solder	name=Dmitriy Karpov	episodes=1 episode, 2005 	
character=Extra	name=Aled Haydn Jones	episodes=1 episode, 2005 	
character=Major General Warren	name=Clayton Landey	episodes=1 episode, 2006 	
character=Gunman 	name=Jerry G. Angelo	episodes=1 episode, 2006 	
character=CTU Staffer	name=John McCain	episodes=1 episode, 2006 	
character=Jim Hill	name=Carl Edwards	episodes=1 episode, 2006 	
character=Daughter	name=Callie Thompson	episodes=1 episode, 2006 	
character=Harry	name=Callie Thompson	episodes=1 episode, 2006 	
character=Henderson	name=Mark Riccardi	episodes=1 episode, 2006 	
character=Mercenary	name=Mark Riccardi	episodes=1 episode, 2006 	
character=Lieutenant	name=Sonny Surowiec	episodes=1 episode, 2006 	
character=Ostroff	name=Sonny Surowiec	episodes=1 episode, 2006 	
character=Presidential Staffer	name=David McDivitt	episodes=1 episode, 2006 	
character=Oil Fields Worker	name=Ricky Pak	episodes=1 episode, 2006 	
character=White House Staffer	name=Travis Grenke	episodes=1 episode, 2006 	
character=CTU Agent	name=Kat Venuti	episodes=1 episode, 2006 	
character=Interviewed Shopper	name=Debbie Major	episodes=1 episode, 2006 	
character=CTU Employee	name=Taylor Neil Thomas	episodes=1 episode, 2006 	
character=CTU Staffer	name=Stephen Merchant	episodes=1 episode, 2007 	
character=FBI Agent	name=Robert Duncan McNeill	episodes=1 episode, 2007 	
character=Camp Guard	name=Loren Avedon	episodes=1 episode, 2007 	
character=FBI Agent	name=Kevin Gregg	episodes=1 episode, 2007 	
character=CTU Team Leader	name=Marc Scizak	episodes=1 episode, 2007 	
character=Counter Terrorist Unit	name=Michael Dane	episodes=1 episode, 2007 	
character=CTU SWAT Agent	name=Brandon Fisher	episodes=1 episode, 2007 	
character=CTU Security Guard	name=Martin Taylor	episodes=1 episode, 2007 	
character=CTU Security Guard	name=Monte Hunter	episodes=1 episode, 2007 	
character=Roger Taylor	name=Eric Lively	episodes=1 episode, 2009 	
character=Alan Wilson Bodyguard	name=Tanoai Reed	episodes=1 episode, 2009 	
character=FBI Helicopter Gunner	name=Charles A. Tamburro	episodes=1 episode, 2009 	
character=Wilson	name=Daniel Arrias	episodes=1 episode, 2009 	
character=Bodyguard	name=Daniel Arrias	episodes=1 episode, 2009 	
character=Wilsons Driver	name=Ivan Djurovic	episodes=1 episode, 2009 	
character=Hostage	name=Melissa Barker	episodes=1 episode, 2009 	
character=Aide	name=Benjamin Steeples	episodes=1 episode, 2009 	
character=Kanin	name=Benjamin Steeples	episodes=1 episode, 2009 	
character=Surgeon	name=Geoff Stevenson	episodes=1 episode, 2009 	
character=FBI Agent 	name=David J Law	episodes=1 episode, 2009 	
character=Dubaku	name=Sean Christopher	episodes=1 episode, 2009 	
character=Bodyguard	name=Sean Christopher	episodes=1 episode, 2009 	
character=Senator	name=Manny Oliverez	episodes=1 episode, 2009 	
character=White House Reporter	name=Steve Dargan	episodes=1 episode, 2009 	
character=Elderly worker	name=Gene LeBell	episodes=1 episode, 2010 	
character=Stripper 	name=Marisa Saks	episodes=1 episode, 2010 	
character=CTU Agent Hopkins	name=Hiro Koda	episodes=1 episode, 2010 	
character=CTU Agent Henderson	name=Briana Cap	episodes=1 episode, 2010 	
character=EMT	name=Erik Betts	episodes=1 episode, 2010 	
character=Galvez	name=Erik Betts	episodes=1 episode, 2010 	
character=CTU Field Agent	name=Jerome Ro Brooks	episodes=1 episode, 2010 	
character=Agent Peters	name=Mark Alexander Herz	episodes=1 episode, 2010 	
character=CTU Agent Lee	name=Brian Hite	episodes=1 episode, 2010 	
character=Reporter	name=Maria Zambrana	episodes=1 episode, 2010 	
character=CTU Agent Greer	name=Sterling Rush	episodes=1 episode, 2010 	
character=New Yorker	name=Mark Anthony Lopez	episodes=1 episode, 2010 	
