# http://fitlayout.github.io/resource/art50 -> https://www.imdb.com/title/tt1796960/fullcredits/
character=Carrie Mathison	name=Claire Danes	episodes=96 episodes, 2011-2020 	
character=Church Cameraman	name=Herbert Lee Frazier III	episodes=1 episode, 2018 	
character=SWAT Team	name=Todd Patrick Taylor	episodes=1 episode, 2018 	
character=Hotel Guest	name=Kevin Pitcairn	episodes=1 episode, 2018 	
character=Lawyer	name=Greg Puckett	episodes=1 episode, 2018 	
character=FBI Agent	name=Mike Scerbo	episodes=1 episode, 2018 	
character=Patron	name=Chuck Taber	episodes=1 episode, 2018 	
character=Man on Stairs	name=Terry McAuliffe	episodes=1 episode, 2018 	
character=Bar Patron	name=Shawn Everett Jones	episodes=1 episode, 2018 	
character=Audience Member	name=Malcolm Jamaal Carter	episodes=1 episode, 2018 	
character=FBI Agent	name=Christopher Zmuda	episodes=1 episode, 2018 	
character=Militia Man	name=Michael Fowle	episodes=1 episode, 2018 	
character=Hearing Spectator	name=Angel Verde	episodes=1 episode, 2018 	
character=Senator Alex Mendoza	name=Andy Rivera	episodes=1 episode, 2018 	
character=FBI Agent	name=Chino Garnett	episodes=1 episode, 2018 	
character=White House Staffer	name=Aaron T. Mott	episodes=1 episode, 2018 	
character=Audience Member	name=Reese Langlois	episodes=1 episode, 2018 	
character=Reporter	name=Darian Drescher	episodes=1 episode, 2018 	
character=Secret Service	name=J.T. Talley	episodes=1 episode, 2018 	
character=Bar Patron	name=Jake Crocker	episodes=1 episode, 2018 	
character=Orderly	name=James Gray Griffin	episodes=1 episode, 2018 	
character=Navy Officer	name=Elan Irving	episodes=1 episode, 2018 	
character=Hearing Spectator 	name=George Kardulias	episodes=1 episode, 2018 	
character=Grad Student	name=Brendan Petak	episodes=1 episode, 2018 	
character=Detective	name=Darrick Claiborne	episodes=1 episode, 2018 	
character=Hotel Guest	name=Elisabeth Daley	episodes=1 episode, 2018 	
character=Business Man	name=Thomas C. Block	episodes=1 episode, 2018 	
character=Secret Service Agent	name=Darin Moore	episodes=1 episode, 2018 	
character=Politician	name=Mark Falvo	episodes=1 episode, 2020 	
character=CIA Analyst	name=Kalina Vanska	episodes=1 episode, 2020 	
character=Russian VIP	name=Frederick Falk	episodes=1 episode, 2020 	
character=Pashto Fighter	name=Jawed Berni	episodes=1 episode, 2020 	
character=Security Guard	name=Manley Henry	episodes=1 episode, 2020 	
character=Concert Attendee	name=Alessandro Pedrazzi	episodes=1 episode, 2020 	
character=Reporter	name=Kate Torri	episodes=1 episode, 2020 	
character=GRU Agent	name=Mircea Oprea	episodes=1 episode, 2020 	
character=GRU Agent	name=Duggan	episodes=1 episode, 2020 	
character=GRU Agent	name=Walker O	episodes=1 episode, 2020 	
character=Spc. Klick	name=Dan Worthington	episodes=1 episode, 2020 	
